,0,,,
CENTURYPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
CERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware
CEREBRAINT,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
CESC,Utilities,Power,Power,Integrated Power Utilities
CEWATER,Utilities,Utilities,Other Utilities,Waste Management
CGCL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CGPOWER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
CHALET,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
CHAMBLFERT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
CHEMBOND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CHEMCON,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CHEMFAB,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
CHEMPLASTS,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
CHENNPETRO,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
CHEVIOT,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
CHOICEIN,Financial Services,Financial Services,Finance,Holding Company
CHOLAFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CHOLAHLDNG,Financial Services,Financial Services,Finance,Investment Company
CIEINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
CIGNITITEC,Information Technology,Information Technology,IT - Services,IT Enabled Services
CINELINE,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
CINEVISTA,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
CIPLA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
CLEAN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CLEDUCATE,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
CLSEL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
CMSINFO,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
COALINDIA,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
COASTCORP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood
COCHINSHIP,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
COFFEEDAY,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
COFORGE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
COLPAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
COMPINFO,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
COMPUSOFT,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
COMSYN,Industrials,Capital Goods,Industrial Products,Packaging
CONCOR,Services,Services,Transport Services,Logistics Solution Provider
CONCORDBIO,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
CONFIPET,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
CONSOFINVT,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CONTROLPR,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
CORALFINAC,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
CORDSCABLE,Industrials,Capital Goods,Industrial Products,Cables - Electricals
COROMANDEL,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
COSMOFIRST,Industrials,Capital Goods,Industrial Products,Packaging
COUNCODOS,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
CPCAP,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
CRAFTSMAN,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
CREATIVE,Services,Services,Commercial Services & Supplies,Trading & Distributors
CREATIVEYE,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
CREDITACC,Financial Services,Financial Services,Finance,Microfinance Institutions
CREST,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CRISIL,Financial Services,Financial Services,Finance,Other Financial Services
CROMPTON,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
CSBBANK,Financial Services,Financial Services,Banks,Private Sector Bank
CSLFINANCE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CTE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
CUB,Financial Services,Financial Services,Banks,Private Sector Bank
CUBEXTUB,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
CUMMINSIND,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
CUPID,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
CURAA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
CYBERMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Media,Electronic Media
CYBERTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
CYIENT,Information Technology,Information Technology,IT - Services,IT Enabled Services
CYIENTDLM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DABUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
DALBHARAT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
DALMIASUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DAMCAPITAL,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
DAMODARIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
DANGEE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
DATAMATICS,Information Technology,Information Technology,IT - Services,IT Enabled Services
DATAPATTNS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
DAVANGERE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DBCORP,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
DBEIL,Industrials,Construction,Construction,Civil Construction
DBL,Industrials,Construction,Construction,Civil Construction
DBOL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DBREALTY,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
DBSTOCKBRO,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
DCAL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DCBBANK,Financial Services,Financial Services,Banks,Private Sector Bank
DCI,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
DCM,Information Technology,Information Technology,IT - Services,IT Enabled Services
DCMFINSERV,Financial Services,Financial Services,Finance,Investment Company
DCMNVL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
DCMSHRIRAM,Diversified,Diversified,Diversified,Diversified
DCMSRIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DCW,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
DCXINDIA,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
DDEVPLSTIK,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DECCANCE,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
DEEDEV,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DEEPAKFERT,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
DEEPAKNTR,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DEEPINDS,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
DELHIVERY,Services,Services,Transport Services,Logistics Solution Provider
DELPHIFX,Financial Services,Financial Services,Finance,Other Financial Services
DELTACORP,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
DELTAMAGNT,Industrials,Capital Goods,Industrial Products,Other Industrial Products
DEN,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
DENORA,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
DENTA,Utilities,Utilities,Other Utilities,Water Supply & Management
DEVIT,Information Technology,Information Technology,IT - Services,IT Enabled Services
DEVYANI,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
DGCONTENT,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
DHAMPURSUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DHAN-RE,Invalid Symbol,,,
DHANBANK,Financial Services,Financial Services,Banks,Private Sector Bank
DHANI,Financial Services,Financial Services,Finance,Other Financial Services
DHANUKA,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
DHARMAJ,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
DHRUV,Services,Services,Commercial Services & Supplies,Consulting Services
DHUNINV,Financial Services,Financial Services,Finance,Investment Company
DIACABS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
DIAMINESQ,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DIAMONDYD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
DICIND,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks
DIFFNKG,Industrials,Capital Goods,Industrial Products,Other Industrial Products
DIGIDRIVE,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
DIGISPICE,Information Technology,Information Technology,IT - Services,IT Enabled Services
DIGJAMLMTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
DIL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
DISHTV,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
DIVGIITTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
DIVISLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DIXON,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
DJML,Services,Services,Transport Services,Logistics Solution Provider
DLF,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
DLINKINDIA,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
DMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
DMCC,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DNAMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Media,Electronic Media
DODLA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products
DOLATALGO,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
DOLLAR,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
DOLPHIN,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
DOMS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
DONEAR,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
DPABHUSHAN,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DPWIRES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
DRCSYSTEMS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
DREAMFOLKS,Services,Services,Transport Infrastructure,Airport & Airport services
DREDGECORP,Services,Services,Engineering Services,Dredging
DRREDDY,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DSSL,Information Technology,Information Technology,IT - Services,IT Enabled Services
DTIL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
DUCON,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DVL,Diversified,Diversified,Diversified,Diversified
DWARKESH,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DYCL,Industrials,Capital Goods,Industrial Products,Cables - Electricals
DYNAMATECH,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DYNPRO,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
E2E,Information Technology,Information Technology,IT - Services,IT Enabled Services
EASEMYTRIP,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
ECLERX,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ECOSMOBLTY,Services,Services,Transport Services,Road Transport
EDELWEISS,Financial Services,Financial Services,Finance,Holding Company
EICHERMOT,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
EIDPARRY,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
EIEL,Utilities,Utilities,Other Utilities,Water Supply & Management
EIFFL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
EIHAHOTELS,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
EIHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
EIMCOELECO,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
EKC,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
ELDEHSG,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ELECON,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ELECTCAST,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ELECTHERM,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ELGIEQUIP,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
ELGIRUBCO,Industrials,Capital Goods,Industrial Products,Rubber
ELIN,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
EMAMILTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
EMAMIPAP,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
EMAMIREAL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
EMBDL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
EMCURE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
EMIL,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
EMKAY,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
EMMBI,Industrials,Capital Goods,Industrial Products,Packaging
EMSLIMITED,Utilities,Utilities,Other Utilities,Waste Management
EMUDHRA,Information Technology,Information Technology,IT - Services,IT Enabled Services
ENDURANCE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ENERGYDEV,Utilities,Power,Power,Power Generation
ENGINERSIN,Industrials,Construction,Construction,Civil Construction
ENIL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
ENTERO,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail
